jname,stock,genus,spp,Pauly,Pauly_update,Jensen,Hoenig,Hoenig_update,Gislason1,Gislason2,FishLife,FishLife_lowSD,FishLife_uppSD,FishLife_estimate_taxon_level,median
ヤナギムシガレイ,太平洋北部,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
マガレイ,北海道北部,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
マガレイ,日本海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ウマヅラハギ,日本海_東シナ海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
トラフグ,日本海_東シナ海_瀬戸内海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
トラフグ,伊勢_三河湾,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
東シナ海底魚類_エソ類,東シナ海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
東シナ海底魚類_ハモ,東シナ海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
東シナ海底魚類_マナガツオ類,東シナ海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
東シナ海底魚類_カレイ類,東シナ海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ホッコクアカエビ,日本海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
シャコ,伊勢_三河湾,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ベニズワイガニ,日本海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ケンサキイカ,日本海_東シナ海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ヤリイカ,太平洋,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ヤリイカ,対馬暖流,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
